locus_num,locus_tag_syn1,locus_tag_syn3a,gene_name_syn1,gene_name_syn3a,iPM_mean_syn1,iPM_mean_syn3a,iPM_fold_change,iPM_log10FC,ptn_localization,sense_covering_ops,antisense_covering_ops,coverage_type
350,MMSYN1_0350,JCVISYN3A_0350,hup,hupA,8991.264880425979,206.28961737601813,0.022943336685043222,-1.639343421721399,cytoplasmic,OP_00196,,sense_only
264,MMSYN1_0264,JCVISYN3A_0264,,prkC; stkP,88.40315652477898,2.044445478479755,0.023126385514375913,-1.6358922389900985,membrane,"OP_00146,OP_00147",,sense_only
416,MMSYN1_0416,JCVISYN3A_0416,,,94.17436512286308,6.75515063402542,0.07173024872758549,-1.1442976632279869,cytoplasmic,OP_00233,,sense_only
